### level_1 ###
# (row,col) #
#
1,1,1	1,2,1	1,3,1	1,4,1	1,5,1	1,6,1	1,7,1	1,8,1	1,9,1	1,10,1
1,11,1	1,12,1	1,13,1	1,14,1	1,15,1	1,16,1	1,17,1	1,18,1	1,19,1	1,20,1
2,1,1	2,20,1	3,1,1	3,3,1	3,5,1	3,7,1	3,9,1	3,12,1	3,14,1	3,16,1
3,18,1	3,20,1	4,1,1	4,20,1	5,1,1	5,3,2	5,5,2	5,7,2	5,9,2	5,10,1
5,11,1	5,12,2	5,14,2	5,16,2	5,18,2	5,20,1	6,1,1	6,3,2	6,5,2	6,7,2
6,9,2	6,10,1	6,11,1	6,12,2	6,14,2	6,16,2	6,18,2	6,20,1	7,1,1	7,20,1
8,1,1	8,3,1	8,5,1	8,7,1	8,9,1	8,12,1	8,14,1	8,16,1	8,18,1	8,20,1
9,1,1	9,20,1	10,1,1	10,2,1	10,3,1	10,4,1	10,5,1	10,6,1	10,7,1	10,8,1
10,9,1	10,10,1	10,11,1	10,12,1	10,13,1	10,14,1	10,15,1	10,16,1	10,17,1	10,18,1
10,19,1	10,20,1
